"Ministere_Code","Ministere_name"
"6","Économie, Finances et Relance"
"2","Armées."
"19","Santé"
"5","Culture"
"21","Transformation Publique"
"15","Mer"
"14","Justice"
"11","Handicap"
"4","Comptes Publics"
"18","Solidarités"
"7","Éducation nationale"
"9","Enseignement supérieur, Recherche et Innovation"
"3","Cohésion des territoires, Ville"
"12","Intérieur"
"20","Sports"
"1","Agriculture"
"8","Égalité Femmes-Hommes"
"10","Europe et Affaires étrangères"
"23","Travail"
"17","Outre-Mer"
"13","Jeunesse et Vie Associative"
"22","Transition Écologique, Transports, Logement"
